CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
96-22-0	3-Pentanone		
70024-85-0	Pyridine, methyl-, chloro derivs.		
2444-90-8	Phenol, 4,4'-(1-methylethylidene)bis-, sodium salt (1:2)	1203510-78-4	
84852-15-3	Phenol, 4-nonyl-, branched		
34689-46-8	Phenol, methyl-, sodium salt (1:1)	8064-24-2	
68425-60-5	Naphthalenesulfonic acid, bis(1-methylethyl)-, ammonium salt (1:1)		
106-65-0	Butanedioic acid, 1,4-dimethyl ester		
72230-78-5	Nitriles, tallow, distn. residues		
112-70-9	1-Tridecanol		
69-65-8	D-Mannitol	1081757-07-4, 123897-58-5, 75398-80-0, 85085-15-0	
96-23-1	2-Propanol, 1,3-dichloro-	148584-48-9, 26545-73-3	
132-27-4	[1,1'-Biphenyl]-2-ol, sodium salt (1:1)	875253-17-1	
22984-54-9	2-Butanone, 2,2',2''-[O,O',O''-(methylsilylidyne)trioxime]	123525-79-1, 254737-77-4	
84961-70-6	Benzene, mono-C10-13-alkyl derivs., distn. residues		
29036-02-0	Quaterphenyl		
70024-92-9	Alkanes, C7-8-iso-		
112-72-1	1-Tetradecanol	150138-88-8, 8032-14-2	
63449-39-8	Paraffin waxes and Hydrocarbon waxes, chloro	108171-26-2, 108171-27-3, 108688-63-7, 11098-33-2, 1818354-19-6, 1909262-92-5, 37187-40-9, 39279-65-7, 39406-09-2, 39444-36-5, 50646-90-7, 51990-12-6, 52276-52-5, 52555-47-2, 52622-66-9, 52677-73-3, 52677-74-4, 52677-75-5, 53028-59-4, 53028-60-7, 53200-35-4, 54577-71-8, 55353-50-9, 56509-64-9, 56730-95-1, 58516-52-2, 60202-64-4, 66746-35-8, 8029-39-8	
72230-79-6	Nitriles, tallow, hydrogenated, distn. residues		
69-72-7	Benzoic acid, 2-hydroxy-	1186130-36-8, 7681-06-3, 8052-31-1	
34690-00-1	Phosphonic acid, P,P',P'',P'''-[[(phosphonomethyl)imino]bis[6,1-hexanediylnitrilobis(methylene)]]tetrakis-	120718-90-3	
661-19-8	1-Docosanol		
96-24-2	1,2-Propanediol, 3-chloro-	52340-46-2, 69420-22-0, 96-66-2	
2451-62-9	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(2-oxiranylmethyl)-	414867-60-0	
112-75-4	1-Tetradecanamine, N,N-dimethyl-		
68515-25-3	Benzene, C1-9-alkyl derivs.		
67953-76-8	Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, potassium salt (1:?)	1338672-76-6	
69045-83-6	Pyridine, 2,3-dichloro-5-(trichloromethyl)-		
68258-91-3	Cyclopentane, hexachloro-		
14143-60-3	2-Pyridinecarbonitrile, 4-amino-3,5,6-trichloro-		
67953-77-9	Methanol, 1-(dibutylamino)-		
68258-90-2	Cyclopentane, heptachloro-		
112-80-1	9-Octadecenoic acid (9Z)-	1190712-11-8, 1190965-71-9, 1380514-02-2, 17156-84-2, 2252262-80-7, 56833-51-3, 8046-01-3, 949900-16-7	
68515-32-2	Benzene, mono-C12-14-alkyl derivs., fractionation bottoms		
96-29-7	2-Butanone, oxime	105287-28-3, 2115045-28-6	
1675-54-3	Oxirane, 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis-	1018476-17-9, 116161-20-7, 1226906-55-3, 1253646-32-0, 1416960-74-1, 1608493-63-5, 1645304-11-5, 170962-54-6, 1826890-03-2, 1826890-16-7, 1886013-38-2, 1889329-63-8, 220756-60-5, 47424-12-4, 64339-51-1, 85101-00-4	
669-90-9	D-arabino-2-Hexulosonic acid	29050-77-9	
68131-72-6	Polyphosphoric acids, esters with triethanolamine, sodium salts		
106-75-2	Carbonochloridic acid, C,C'-(oxydi-2,1-ethanediyl) ester	137891-98-6, 51621-87-5	
1120-21-4	Undecane	1714962-75-0	
96-31-1	Urea, N,N'-dimethyl-	475470-59-8	
68515-34-4	Benzene, mono-C12-14-alkyl derivs., fractionation bottoms, heavy ends		
106-79-6	Decanedioic acid, 1,10-dimethyl ester		
41484-35-9	Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 1,1'-(thiodi-2,1-ethanediyl) ester	131439-63-9, 1883508-43-7, 1917308-14-5, 2218524-51-5, 350983-77-6, 53789-56-3, 62132-55-2, 75915-28-5, 894791-61-8	
9016-45-9	Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-	102188-45-4, 103939-37-3, 105269-88-3, 106152-98-1, 107231-62-9, 11098-16-1, 11103-60-9, 11107-93-0, 111623-62-2, 112509-36-1, 114101-89-2, 1163687-50-0, 116711-78-5, 1202388-20-2, 1202388-26-8, 123019-34-1, 123068-21-3, 124057-60-9, 12767-68-9, 12789-12-7, 12790-67-9, 137263-06-0, 139281-67-7, 141490-14-4, 142985-89-5, 143929-07-1, 167140-06-9, 172521-16-3, 1809431-45-5, 1809431-82-0, 188612-23-9, 190856-87-2, 1943678-94-1, 202936-22-9, 205577-03-3, 2091900-73-9, 2096976-67-7, 226225-58-7, 226225-59-8, 2323620-11-5, 2332812-08-3, 2408592-97-0, 25154-52-3, 25640-88-4, 26064-02-8, 27288-14-8, 28136-10-9, 286015-24-5, 286015-28-9, 29594-36-3, 30676-83-6, 32196-52-4, 37187-23-8, 37210-94-9, 37230-99-2, 37280-80-1, 37291-67-1, 37336-52-0, 376647-33-5, 39289-57-1, 39316-45-5, 39316-73-9, 39346-85-5, 39373-71-2, 39392-83-1, 39393-36-7, 39421-49-3, 39453-05-9, 39454-98-3, 39475-46-2, 42617-03-8, 441352-55-2, 441352-56-3, 441352-57-4, 441352-58-5, 441352-59-6, 50855-29-3, 509171-19-1, 50934-84-4, 51059-97-3, 51609-19-9, 51668-51-0, 51938-59-1, 51938-60-4, 52012-43-8, 52038-46-7, 52051-49-7, 52434-07-8, 52440-03-6, 52440-78-5, 52440-94-5, 52504-18-4, 52504-19-5, 52683-07-5, 53125-17-0, 53529-49-0, 53663-55-1, 53763-35-2, 53763-36-3, 54174-36-6, 54985-54-5, 55126-80-2, 55838-69-2, 56590-96-6, 57308-02-8, 57571-69-4, 59330-69-7, 60098-67-1, 60476-27-9, 61614-07-1, 61840-55-9, 62169-44-2, 62229-21-4, 62229-24-7, 62229-29-2, 623588-93-2, 63440-03-9, 63798-88-9, 64296-14-6, 64940-97-2, 65035-40-7, 65035-41-8, 65777-14-2, 66525-84-6, 67053-58-1, 72847-44-0, 72847-45-1, 74434-41-6, 74656-63-6, 74749-71-6, 75882-09-6, 76829-05-5, 77271-60-4, 80341-59-9, 80966-32-1, 81296-82-4, 83271-48-1, 874461-43-5, 9021-03-8, 90452-81-6, 9067-50-9, 93095-76-2, 933050-99-8, 942205-98-3, 95828-59-4, 96231-61-7, 96957-64-1, 96958-17-7, 96958-28-0, 99402-83-2, 99531-82-5	
112-84-5	13-Docosenamide, (13Z)-	116749-29-2, 2418524-10-2, 80399-99-1, 93050-58-9	
7747-35-5	1H,3H,5H-Oxazolo[3,4-c]oxazole, 7a-ethyldihydro-	101707-05-5	
68131-74-8	Ashes (residues)	68308-17-8, 68308-18-9, 68439-84-9, 69012-84-6	
112-85-6	Docosanoic acid		
85117-41-5	Benzene, mono-C10-14-alkyl derivs., fractionation bottoms		
68515-35-5	Benzene, mono-C10-12-alkyl derivs., fractionation bottoms, light ends		
96-33-3	2-Propenoic acid, methyl ester	102256-29-1, 1254182-69-8, 2408240-60-6	
1120-36-1	1-Tetradecene	26952-13-6	
112-86-7	13-Docosenoic acid, (13Z)-		
68131-75-9	Gases (petroleum), C3-4		
12068-03-0	Benzenesulfonic acid, methyl-, sodium salt (1:1)		
85137-07-1	Butanedioic acid, polyisobutenyl derivs., reaction products with tetraethylenepentamine, zinc salts		
112-88-9	1-Octadecene		
68955-02-2	1,3-Propanediamine, N-[3-(C12-15-alkyloxy)propyl] derivs.		
673-84-7	2,4,6-Octatriene, 2,6-dimethyl-	17627-38-2, 17627-39-3, 23487-64-1	
1679-64-7	1,4-Benzenedicarboxylic acid, 1-methyl ester	2764684-51-5	
