ZVG-Nr.	CAS-Nr.	verwandte CAS-Nr.	Name
1000	7726-95-6	 	Brom
1010	7553-56-2	 	Iod
1020	7446-09-5	 	Schwefeldioxid
1030	7446-11-9	 	Schwefeltrioxid
1040	7664-39-3	 	Fluorwasserstoff, wasserfrei
1050	7647-01-0	 	Chlorwasserstoff, wasserfrei
1060	10035-10-6	 	Bromwasserstoff, wasserfrei
1070	10034-85-2	 	Iodwasserstoff, wasserfrei
1080	10102-43-9	 	Stickstoffmonoxid
1090	10102-44-0	 	Stickstoffdioxid
1100	7664-41-7	 	Ammoniak, wasserfrei
1110	630-08-0	 	Kohlenmonoxid
1120	124-38-9	 463-79-6	Kohlendioxid
1121	124-38-9	 	Kohlendioxid, tiefkalt verflüssigt
1122	124-38-9	 	Trockeneis
1130	7783-06-4	 	Schwefelwasserstoff
1140	7732-18-5	 	Wasser
1150	1305-62-0	 	Calciumhydroxid
1160	7664-93-9	 	Schwefelsäure
1170	7778-18-9	 10034-76-1  10101-41-4  13397-24-5	Calciumsulfat
1180	7727-21-1	 	Kaliumperoxodisulfat
1190	1345-25-1	 	Eisen(II)-oxid
1200	1305-78-8	 	Calciumoxid
1210	1309-48-4	 	Magnesiumoxid
1220	1313-60-6	 	Natriumperoxid
1230	1313-99-1	 11099-02-8  34492-97-2	Nickeloxid
1240	1314-41-6	 	Blei(II,IV)-oxid
1250	1314-62-1	 	Vanadium(V)-oxid
1270	1310-73-2	 	Natriumhydroxid
1280	1344-28-1	 1302-74-5	Aluminiumoxid
1290	7631-86-9	 112926-00-8  63231-67-4	Siliciumdioxid, kolloidal
1300	20344-49-4	 51274-00-1	Eisen(III)-oxidhydrat
1310	7719-09-7	 	Thionylchlorid
1320	16721-80-5	 207683-19-0	Natriumhydrogensulfid
1330	7647-14-5	 	Natriumchlorid
1340	75-44-5	 	Phosgen
1350	7791-25-5	 	Sulfurylchlorid
1360	7631-90-5	 	Natriumhydrogensulfit, wässrige Lösung
1370	7697-37-2	 	Salpetersäure
1380	7632-00-0	 	Natriumnitrit
1390	1313-82-2	 1313-83-3  1313-84-4  27610-45-3	Natriumsulfid
1400	7757-82-6	 7727-73-3	Natriumsulfat
1410	7681-52-9	 55248-17-4  64131-03-9	Natriumhypochlorit, wässrige Lösung mit Anteilen an aktivem Chlor
1420	1310-58-3	 26288-25-5	Kaliumhydroxid
1430	75-15-0	 	Kohlendisulfid
1440	7733-02-0	 7446-19-7  13986-24-8  7446-20-0	Zinksulfat
1450	7646-85-7	 	Zinkchlorid
1460	12125-02-9	 	Ammoniumchlorid
1470	7783-20-2	 	Ammoniumsulfat
1480	56-23-5	 	Tetrachlormethan
1490	7758-94-3	 13478-10-9	Eisen(II)-chlorid
1500	7705-08-0	 10025-77-1	Eisen(III)-chlorid
1510	3982-91-0	 	Thiophosphoryltrichlorid
1520	1314-80-3	 	Diphosphorpentasulfid
1530	1344-43-0	 	Mangan(II)-oxid
1540	7722-88-5	 13472-36-1	Natriumpyrophosphat
1550	7705-07-9	 	Titan(III)-chlorid
1560	10025-67-9	 	Dischwefeldichlorid
1570	14807-96-6	 	Talk, asbestfrei
1580	7778-80-5	 	Kaliumsulfat
1600	1332-65-6	 1332-40-7	Kupfer(II)-trihydroxidchlorid
1620	12136-45-7	 	Kaliumoxid
1630	7758-19-2	 	Natriumchlorit
1640	10049-04-4	 	Chlordioxid
1650	471-34-1	 	Calciumcarbonat
1660	7558-79-4	 10028-24-7  7782-85-6  10039-32-4	Dinatriumhydrogenphosphat
1670	7558-80-7	 10049-21-5  13472-35-0	Natriumdihydrogenphosphat
1680	7681-57-4	 	Natriumdisulfit
1690	513-77-9	 	Bariumcarbonat
1710	7727-43-7	 	Bariumsulfat
1720	1309-42-8	 	Magnesiumhydroxid
1750	1336-21-6	 	Ammoniak, wässrige Lösung
1760	7758-98-7	 10257-54-2  7758-99-8	Kupfer(II)-sulfat
1780	13463-67-7	 	Titan(IV)-oxid
1790	7446-26-6	 	Zinkpyrophosphat
1800	7664-38-2	 	Phosphorsäure
1810	7631-99-4	 	Natriumnitrat
1820	1330-43-4	 12179-04-3  1303-96-4	Natriumtetraborat
1830	1303-86-2	 	Dibortrioxid
1840	10124-43-3	 10026-24-1	Cobalt(II)-sulfat
1850	1314-56-3	 	Phosphorpentoxid
1860	1309-37-1	 	Eisen(III)-oxid
1870	12068-85-8	 1309-36-0	Eisen(II)-disulfid
1880	10031-22-8	 	Blei(II)-bromid
1890	7601-54-9	 15819-50-8  10101-89-0	Trinatriumphosphat
1900	15096-52-3	 13775-53-6	Natriumhexafluoroaluminat
1910	10043-52-4	 10035-04-8  25094-02-4  7774-34-7	Calciumchlorid
1930	7681-49-4	 	Natriumfluorid
1940	12336-95-7	 	Chrom(III)-hydroxidsulfat
1950	10544-72-6	 	Distickstofftetroxid
1960	10361-37-2	 10326-27-9	Bariumchlorid
1970	151-50-8	 	Kaliumcyanid
1980	75-20-7	 	Calciumcarbid
1990	1317-38-0	 	Kupfer(II)-oxid
2000	60676-86-0	 	Kieselglas
2010	302-01-2	 10217-52-4  7803-57-8	Hydrazin
