
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
50-00-0	Formaldehyde	 
50-01-1	Guanidine, monohydrochloride	 
50-03-3	(11ß)-21-(Acetyloxy)-11,17-dihydroxypregn-4-ene-3,20-dione 	 
50-21-5	Lactic acid	Propanoic acid, 2-hydroxy-
50-29-3	D.D.T.	Clofenotane
50-70-4	D-Glucitol	Glucitol, D-
50-78-2	Aspirin	O-acetylsalicylic acid
50-81-7	L-Ascorbic acid	 
50-99-7	D-Glucose	 
51-28-5	Phenol, 2,4-dinitro-	 
54-31-9	Furosemide	 
55-38-9	Fenthion	 
55-56-1	Chlorhexidine	 
55-63-0	Nitroglycerin	Glycerol trinitrate
56-23-5	Methane, tetrachloro-	Carbon tetrachloride
56-34-8	Ethanaminium, N,N,N-triethyl-, chloride (1:1)	 
56-35-9	Distannoxane, hexabutyl-	bis-Tributyl tin oxide
56-38-2	Parathion	 
56-40-6	Glycine	 
56-81-5	Glycerol	1,2,3-Propanetriol
56-84-8	L-Aspartic acid	Aspartic acid
56-86-0	Glutamic acid	 
56-93-9	Benzenemethanaminium, N,N,N-trimethyl-, chloride	Ammonium, benzyltrimethyl-, chloride
57-10-3	Palmitic acid	Hexadecanoic acid
57-11-4	Stearic acid	Octadeanoic acid
57-13-6	Urea	 
57-41-0	Phenytoin	 
57-48-7	D-Fructose	Fructose, pure
57-50-1	Sucrose	alpha-D-Glucopyranoside, beta-D-fructofuranosyl
57-55-6	1,2-Propanediol	1,2-Propylene glycol
58-08-2	Caffeine	1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-
58-25-3	Chlordiazepoxide	 
58-32-2	Dipyridamole	 
58-55-9	Theophylline	1H-Purine-2,6-dione, 3,7-dihydro-1,3-dimethyl-
58-56-0	Pyridoxine hydrochloride	 
58-89-9	Lindane	 
58-93-5	Hydrochlorothiazide	 
58-94-6	Chlorothiazide	 
59-50-7	Phenol, 4-chloro-3-methyl-	 
59-51-8	DL-Methionine	 
